Date,Open,High,Low,Close,Adj Close,Volume
2023-08-02,5033.0,5043.7001953125,4976.0,4996.75,4983.0634765625,1016605
2023-08-03,4960.0,5030.0,4956.2998046875,4996.2998046875,4982.61474609375,412037
2023-08-04,5025.0,5036.4501953125,4964.0,4980.2998046875,4966.658203125,358846
2023-08-07,4980.2998046875,5024.89990234375,4956.35009765625,5014.39990234375,5000.6650390625,608113
2023-08-08,5017.0,5055.0,4980.14990234375,5023.35009765625,5009.5908203125,519420
2023-08-09,5023.35009765625,5026.0,4958.0,4981.35009765625,4967.70556640625,268668
2023-08-10,4981.39990234375,4981.4501953125,4903.60009765625,4922.5,4909.01708984375,370166
2023-08-11,4930.0,5012.0,4811.14990234375,4906.14990234375,4892.71142578125,1066479
2023-08-14,4863.0,4927.5498046875,4730.0,4820.85009765625,4807.6455078125,832136
2023-08-16,4800.0,4953.9501953125,4754.10009765625,4941.89990234375,4928.36376953125,667417
2023-08-17,4940.5,4960.0,4872.5498046875,4892.75,4879.34814453125,375779
2023-08-18,4874.9501953125,4895.0,4825.10009765625,4848.35009765625,4843.98046875,336848
2023-08-21,4881.0,4945.4501953125,4840.0,4932.64990234375,4928.2041015625,243126
2023-08-22,4947.89990234375,4959.0,4906.14990234375,4919.64990234375,4915.2158203125,175172
2023-08-23,4958.0,4987.0,4911.0,4945.60009765625,4941.142578125,597123
2023-08-24,4955.0,4983.5,4900.10009765625,4919.9501953125,4915.51611328125,534065
2023-08-25,4900.0,4913.10009765625,4846.0,4865.5,4861.11474609375,249504
2023-08-28,4874.89990234375,4911.85009765625,4842.0,4905.4501953125,4901.02880859375,204098
2023-08-29,4906.0,4945.0,4858.89990234375,4878.39990234375,4874.0029296875,591619
2023-08-30,4881.9501953125,4889.9501953125,4845.0,4874.5,4870.10693359375,396122
2023-08-31,4887.4501953125,4911.7998046875,4805.7998046875,4814.10009765625,4809.76123046875,488260
2023-09-01,4840.0,4849.9501953125,4801.2001953125,4840.35009765625,4835.98779296875,206097
2023-09-04,4860.0,4870.0,4817.60009765625,4824.85009765625,4820.50146484375,354446
2023-09-05,4860.0,4992.0,4832.0498046875,4984.5,4980.00732421875,800554
2023-09-06,4980.0,5043.64990234375,4954.0,5033.10009765625,5028.56396484375,535407
2023-09-07,5029.9501953125,5044.89990234375,4987.0,5029.0498046875,5024.51708984375,334709
2023-09-08,5040.0,5049.7998046875,4977.9501953125,4985.14990234375,4980.65673828125,292671
2023-09-11,5004.0,5106.7998046875,5003.75,5095.9501953125,5091.357421875,543287
2023-09-12,5111.0,5125.0,4966.0,4979.2001953125,4974.71240234375,483061
2023-09-13,4975.0,5021.2001953125,4945.0,5011.0,5006.48388671875,232238
2023-09-14,5001.0,5100.0,4995.5,5084.5498046875,5079.96728515625,414391
2023-09-15,5084.5498046875,5150.39990234375,5061.7001953125,5091.7998046875,5087.21044921875,658355
2023-09-18,5100.0,5162.0,5067.35009765625,5075.14990234375,5070.57568359375,371912
2023-09-20,5051.4501953125,5059.7998046875,4929.0,5006.2998046875,5001.78759765625,509910
2023-09-21,4990.0,5046.9501953125,4975.4501953125,5020.0498046875,5015.525390625,422586
2023-09-22,5013.0,5016.7998046875,4955.0,4989.5498046875,4985.052734375,348459
2023-09-25,5014.89990234375,5113.4501953125,4972.85009765625,5097.0498046875,5092.4560546875,386746
2023-09-26,5097.0,5097.0,5030.25,5053.7001953125,5049.1455078125,267102
2023-09-27,5054.0,5118.85009765625,5020.0,5105.35009765625,5100.74853515625,460768
2023-09-28,5105.35009765625,5145.5,4995.0,5020.10009765625,5015.57568359375,407714
2023-09-29,5054.0,5186.9501953125,5026.60009765625,5137.75,5133.11962890625,410567
2023-10-03,5138.9501953125,5154.9501953125,5066.0,5118.9501953125,5114.33642578125,268482
2023-10-04,5085.0,5096.85009765625,4982.2998046875,5047.39990234375,5042.8505859375,442482
2023-10-05,5054.9501953125,5079.85009765625,5026.64990234375,5047.0498046875,5042.5009765625,363289
2023-10-06,5050.0,5084.0,5028.7998046875,5060.25,5055.689453125,407753
2023-10-09,5000.0,5066.0,4987.0498046875,5047.2998046875,5042.7509765625,176296
2023-10-10,5068.9501953125,5084.5498046875,5033.0,5066.7001953125,5062.1337890625,202645
2023-10-11,5072.9501953125,5140.0,5065.0,5092.85009765625,5088.259765625,336099
2023-10-12,5092.7998046875,5113.9501953125,4871.7001953125,4993.85009765625,4989.34912109375,1029595
2023-10-13,4988.9501953125,5029.10009765625,4933.75,5017.2998046875,5012.77783203125,410013
2023-10-16,5030.0,5049.4501953125,4986.39990234375,5021.7001953125,5017.17431640625,259806
2023-10-17,5050.0,5068.0,5012.2001953125,5028.7998046875,5024.267578125,217907
2023-10-18,5021.0,5039.9501953125,4938.4501953125,4977.25,4972.76416015625,341459
2023-10-19,4977.25,5019.9501953125,4935.14990234375,4997.0498046875,4992.5458984375,231958
2023-10-20,4990.10009765625,4999.9501953125,4940.5,4977.5498046875,4973.0634765625,252447
2023-10-23,4977.0,5010.5498046875,4944.14990234375,4969.5498046875,4965.07080078125,363474
2023-10-25,4960.0,4971.35009765625,4831.5,4859.89990234375,4855.51953125,894230
2023-10-26,4859.89990234375,4859.89990234375,4726.0,4760.2998046875,4756.00927734375,836962
2023-10-27,4779.9501953125,4860.5498046875,4776.7998046875,4830.2001953125,4825.8466796875,333727
2023-10-30,4840.0,4868.39990234375,4783.0498046875,4841.75,4837.38623046875,234759
2023-10-31,4832.0,4899.64990234375,4805.2001953125,4819.89990234375,4815.5556640625,276660
2023-11-01,4835.0,4856.0,4790.0,4796.5498046875,4792.2265625,281746
2023-11-02,4837.7998046875,4895.0,4810.2001953125,4887.0,4882.59521484375,214035
2023-11-03,4950.75,5165.5,4937.0498046875,5153.2001953125,5148.5556640625,1262458
2023-11-06,5141.0498046875,5228.0,5127.5,5164.9501953125,5160.294921875,399720
2023-11-07,5150.0,5181.9501953125,5121.0498046875,5136.85009765625,5132.22021484375,222204
2023-11-08,5135.0,5153.64990234375,5087.4501953125,5110.9501953125,5106.34375,400498
2023-11-09,5147.5,5313.0,5122.0498046875,5297.60009765625,5292.82568359375,1032216
2023-11-10,5300.0,5338.0,5218.64990234375,5278.5,5273.74267578125,696409
2023-11-13,5250.0,5279.0,5200.2001953125,5220.64990234375,5215.94482421875,150128
2023-11-15,5283.85009765625,5295.0,5207.0,5224.9501953125,5220.2412109375,356675
2023-11-16,5224.0,5368.0,5201.75,5338.75,5333.9384765625,449045
2023-11-17,5332.2001953125,5493.35009765625,5306.14990234375,5478.9501953125,5474.01220703125,735541
2023-11-20,5475.0,5595.0,5455.0498046875,5473.9501953125,5469.0166015625,526567
2023-11-21,5500.0,5520.2998046875,5422.39990234375,5466.7998046875,5461.87255859375,382979
2023-11-22,5467.0,5539.9501953125,5439.14990234375,5532.0,5527.01416015625,302473
2023-11-23,5530.0,5550.0,5473.2998046875,5493.9501953125,5488.99853515625,234584
2023-11-24,5493.0,5493.0,5395.0,5401.2998046875,5396.431640625,270183
2023-11-28,5401.2998046875,5424.85009765625,5341.0,5366.7998046875,5361.962890625,362746
2023-11-29,5372.10009765625,5435.0,5364.5,5421.9501953125,5417.0634765625,277119
2023-11-30,5382.0,5550.0,5382.0,5528.9501953125,5523.96728515625,775261
2023-12-01,5550.0,5687.64990234375,5530.35009765625,5591.14990234375,5586.11083984375,546990
2023-12-04,5626.0,5658.25,5569.60009765625,5622.5498046875,5617.482421875,936113
2023-12-05,5610.0,5689.0,5525.0,5580.2001953125,5575.1708984375,787929
2023-12-06,5534.14990234375,5639.0,5508.75,5543.10009765625,5538.10400390625,574427
2023-12-07,5490.25,5519.7998046875,5441.5,5461.39990234375,5456.4775390625,510609
2023-12-08,5495.0,5572.5498046875,5439.0498046875,5555.35009765625,5550.34326171875,456382
2023-12-11,5550.0,5555.35009765625,5490.0,5547.35009765625,5542.3505859375,238128
2023-12-12,5550.0,5550.0,5403.2001953125,5428.9501953125,5424.05712890625,615205
2023-12-13,5402.9501953125,5452.0,5369.39990234375,5426.75,5421.85888671875,476781
2023-12-14,5494.7998046875,5532.9501953125,5452.10009765625,5515.89990234375,5510.9287109375,490550
2023-12-15,5530.0,5588.0,5500.0,5551.2001953125,5546.19677734375,349758
2023-12-18,5550.5,5607.75,5494.0,5498.64990234375,5493.69384765625,428321
2023-12-19,5508.7998046875,5675.35009765625,5503.7001953125,5555.5,5550.4931640625,682732
2023-12-20,5555.5,5605.7998046875,5375.10009765625,5402.2001953125,5397.3310546875,437044
2023-12-21,5344.0,5553.0,5284.85009765625,5475.85009765625,5470.9150390625,487514
2023-12-22,5510.0,5549.0,5462.7001953125,5541.39990234375,5536.40576171875,220537
2023-12-26,5541.39990234375,5645.0,5526.14990234375,5633.14990234375,5628.07275390625,243281
2023-12-27,5635.0,5715.0,5615.60009765625,5687.4501953125,5682.32421875,307177
2023-12-28,5675.0,5770.0,5674.75,5760.5,5755.30810546875,568149
2023-12-29,5740.0,5758.9501953125,5677.2998046875,5704.10009765625,5698.958984375,325682
2024-01-01,5741.0,5765.0,5707.85009765625,5750.0498046875,5744.8671875,127030
2024-01-02,5738.10009765625,5782.64990234375,5680.0,5746.35009765625,5741.1708984375,166449
2024-01-03,5730.0,5786.0,5673.0498046875,5768.2998046875,5763.10107421875,198997
2024-01-04,5768.2998046875,5839.9501953125,5731.5,5762.2001953125,5757.0068359375,220702
2024-01-05,5762.2001953125,5808.7998046875,5715.0,5754.25,5749.06396484375,144894
2024-01-08,5750.0,5774.85009765625,5640.0,5682.0,5676.87890625,157009
2024-01-09,5702.2001953125,5849.0,5674.7001953125,5797.64990234375,5792.4248046875,329437
2024-01-10,5800.0,5819.2998046875,5721.2998046875,5800.89990234375,5795.671875,239740
2024-01-11,5804.0,5892.0,5802.25,5869.89990234375,5864.609375,213210
2024-01-12,5870.0,5922.0,5742.85009765625,5795.7001953125,5790.4765625,250919
2024-01-15,5835.0,5924.14990234375,5804.0,5896.39990234375,5891.08544921875,375458
2024-01-16,5882.0,5967.4501953125,5829.0,5904.5498046875,5899.22802734375,347797
2024-01-17,5872.85009765625,5980.35009765625,5831.25,5925.89990234375,5920.55908203125,378205
2024-01-18,5959.0,6028.9501953125,5838.0,5990.85009765625,5985.45068359375,591170
2024-01-19,5987.0,6120.0,5951.0,6094.64990234375,6089.15673828125,326813
2024-01-23,6428.0,6428.7001953125,6133.64990234375,6153.75,6148.20361328125,982889
2024-01-24,6153.5498046875,6230.0,6083.35009765625,6213.35009765625,6207.75,435151
2024-01-25,6210.0498046875,6238.2001953125,6119.10009765625,6168.85009765625,6163.2900390625,337391
2024-01-29,6199.0498046875,6349.0,6177.7998046875,6329.75,6324.044921875,554591
2024-01-30,6331.0,6387.85009765625,6283.7998046875,6309.7998046875,6304.11279296875,304312
2024-01-31,6280.0,6371.64990234375,6255.5498046875,6352.9501953125,6347.224609375,499281
2024-02-01,6289.64990234375,6377.0,6267.7998046875,6287.9501953125,6282.283203125,255111
2024-02-02,6320.0,6359.0498046875,6291.2998046875,6320.5498046875,6314.85302734375,239428
2024-02-05,6320.5498046875,6346.60009765625,6209.2001953125,6234.5,6228.880859375,147909
2024-02-06,6259.9501953125,6297.89990234375,6155.0498046875,6197.2998046875,6191.71435546875,326654
2024-02-07,6237.75,6248.85009765625,6155.0,6177.9501953125,6172.38232421875,323738
2024-02-08,6201.5,6363.2001953125,6150.0,6231.0,6225.38427734375,794455
2024-02-09,6269.39990234375,6473.9501953125,6213.60009765625,6437.35009765625,6431.54833984375,933104
2024-02-12,6464.89990234375,6677.7998046875,6375.0,6614.4501953125,6608.48876953125,709946
2024-02-13,6614.4501953125,6740.0,6598.25,6718.89990234375,6712.84423828125,521773
2024-02-14,6718.7998046875,6775.0,6700.0,6754.10009765625,6748.0126953125,452781
2024-02-15,6750.0,6764.39990234375,6585.60009765625,6627.60009765625,6621.626953125,446114
2024-02-16,6631.0498046875,6660.4501953125,6525.10009765625,6600.5498046875,6594.60107421875,391508
2024-02-19,6620.0,6675.9501953125,6511.0498046875,6657.14990234375,6651.14990234375,334607
2024-02-20,6667.5,6785.0,6637.85009765625,6759.4501953125,6759.4501953125,559251
2024-02-21,6784.9501953125,6821.9501953125,6717.2998046875,6760.14990234375,6760.14990234375,537325
2024-02-22,6765.0,6874.4501953125,6690.0498046875,6769.2001953125,6769.2001953125,564432
2024-02-23,6779.0,6786.7998046875,6723.10009765625,6774.0498046875,6774.0498046875,352524
2024-02-26,6769.9501953125,6791.75,6570.89990234375,6584.0,6584.0,453443
2024-02-27,6588.0,6668.4501953125,6570.0,6620.60009765625,6620.60009765625,313760
2024-02-28,6630.0,6630.0,6345.2998046875,6362.35009765625,6362.35009765625,536602
2024-02-29,6392.5498046875,6392.5498046875,6062.0498046875,6101.60009765625,6101.60009765625,1543361
2024-03-01,6102.0,6107.0,5941.85009765625,6085.39990234375,6085.39990234375,1749136
2024-03-04,6145.0,6171.75,6022.85009765625,6033.2998046875,6033.2998046875,551616
2024-03-05,6035.0498046875,6103.5,5976.2001953125,6061.10009765625,6061.10009765625,724456
2024-03-06,6025.0,6078.89990234375,5945.0,6054.2998046875,6054.2998046875,588776
2024-03-07,6065.5,6142.85009765625,6032.0,6048.7998046875,6048.7998046875,738112
2024-03-11,6048.7998046875,6225.0,6036.10009765625,6204.7001953125,6204.7001953125,521556
2024-03-12,6240.0,6274.25,6107.5,6144.7998046875,6144.7998046875,482112
2024-03-13,6180.0,6180.0,5956.0498046875,6008.39990234375,6008.39990234375,356191
2024-03-14,6008.39990234375,6095.0,5980.0,6023.14990234375,6023.14990234375,439181
2024-03-15,6015.0,6030.85009765625,5941.60009765625,5983.2001953125,5983.2001953125,764270
2024-03-18,5997.75,6144.9501953125,5978.64990234375,6136.5498046875,6136.5498046875,419258
2024-03-19,6077.0,6125.7001953125,6034.0498046875,6113.2001953125,6113.2001953125,542392
2024-03-20,6148.0,6200.7001953125,6073.4501953125,6174.0498046875,6174.0498046875,413963
2024-03-21,6189.89990234375,6214.39990234375,6105.60009765625,6182.5,6182.5,350032
2024-03-22,6169.14990234375,6390.89990234375,6168.7001953125,6375.89990234375,6375.89990234375,727548
2024-03-26,6398.0,6463.4501953125,6309.5,6322.4501953125,6322.4501953125,629120
2024-03-27,6355.0,6399.39990234375,6220.0,6231.4501953125,6231.4501953125,603420
2024-03-28,6231.4501953125,6425.60009765625,6112.5,6356.7998046875,6356.7998046875,818070
2024-04-01,6401.0,6557.0,6372.75,6457.25,6457.25,440465
2024-04-02,6469.5,6469.5,6404.2001953125,6419.75,6419.75,213898
2024-04-03,6399.5498046875,6409.0,6311.0,6375.0498046875,6375.0498046875,289202
2024-04-04,6425.0,6475.0,6326.39990234375,6440.60009765625,6440.60009765625,547885
2024-04-05,6440.60009765625,6480.0,6381.5498046875,6397.75,6397.75,239001
2024-04-08,6397.75,6397.75,6280.0,6307.75,6307.75,491584
2024-04-09,6347.7998046875,6540.0,6330.9501953125,6505.0498046875,6505.0498046875,592624
2024-04-10,6505.0498046875,6515.89990234375,6451.0,6489.85009765625,6489.85009765625,174947
2024-04-12,6450.0,6477.89990234375,6362.7001953125,6406.5498046875,6406.5498046875,450885
2024-04-15,6325.10009765625,6399.10009765625,6283.0,6303.14990234375,6303.14990234375,251305
2024-04-16,6299.9501953125,6347.60009765625,6202.0,6334.75,6334.75,290190
2024-04-18,6306.10009765625,6334.39990234375,6053.2001953125,6074.14990234375,6074.14990234375,518459
2024-04-19,6140.0,6199.0,6050.0,6169.5498046875,6169.5498046875,560178
2024-04-22,6154.5,6258.0,6150.0,6238.5498046875,6238.5498046875,197001
2024-04-23,6241.5,6303.7998046875,6181.0,6194.89990234375,6194.89990234375,217146
2024-04-24,6229.89990234375,6310.5,6186.14990234375,6283.35009765625,6283.35009765625,207837
2024-04-25,6280.0,6402.2001953125,6168.85009765625,6384.10009765625,6384.10009765625,520353
2024-04-26,6380.0,6380.0,6251.0498046875,6258.60009765625,6258.60009765625,261065
2024-04-29,6200.0,6200.0,5733.0,5968.35009765625,5968.35009765625,2785015
2024-04-30,6000.0,6023.0,5901.0,5947.10009765625,5947.10009765625,1040838
2024-05-02,5947.10009765625,6000.0,5939.4501953125,5958.5498046875,5958.5498046875,572406
2024-05-03,6000.0,6027.7001953125,5960.0498046875,6009.60009765625,6009.60009765625,563849
2024-05-06,6050.0,6086.14990234375,5986.2001953125,6056.7001953125,6056.7001953125,419144
2024-05-07,6080.0,6080.0,5856.39990234375,5900.25,5900.25,455928
2024-05-08,5892.0,5910.0,5812.64990234375,5846.5,5846.5,511587
2024-05-09,5859.89990234375,5892.0,5790.0,5806.39990234375,5806.39990234375,598157
2024-05-10,5819.9501953125,5881.0,5753.25,5842.4501953125,5842.4501953125,372227
2024-05-13,5820.0,5842.39990234375,5790.2001953125,5830.14990234375,5830.14990234375,348407
2024-05-14,5855.0,5894.64990234375,5740.0,5862.7998046875,5862.7998046875,558136
2024-05-15,5869.9501953125,5883.4501953125,5820.0,5848.7998046875,5848.7998046875,509306
2024-05-16,5890.0,5944.5,5850.0,5931.7001953125,5931.7001953125,378026
2024-05-17,5925.0,5973.0,5910.10009765625,5953.0498046875,5953.0498046875,267904
2024-05-21,6000.0,6041.89990234375,5920.39990234375,5948.25,5948.25,606639
2024-05-22,5958.60009765625,5958.60009765625,5844.9501953125,5868.14990234375,5868.14990234375,735701
2024-05-23,5878.4501953125,5991.4501953125,5860.60009765625,5970.0498046875,5970.0498046875,308200
2024-05-24,5938.2998046875,5971.85009765625,5867.0,5914.35009765625,5914.35009765625,608807
2024-05-27,5950.0,5959.5,5918.0,5939.2998046875,5939.2998046875,189637
2024-05-28,5944.14990234375,5971.4501953125,5880.2998046875,5904.5,5904.5,314362
2024-05-29,5909.89990234375,5945.0,5880.89990234375,5903.4501953125,5903.4501953125,337183
2024-05-30,5900.0,5901.75,5750.0,5766.4501953125,5766.4501953125,643549
2024-05-31,5855.9501953125,5959.35009765625,5743.0,5839.2001953125,5839.2001953125,1382132
2024-06-03,5986.2998046875,6018.14990234375,5812.5498046875,5851.2001953125,5851.2001953125,804820
2024-06-04,5750.35009765625,5963.75,5693.2001953125,5845.7001953125,5845.7001953125,642000
2024-06-05,5915.0,5944.75,5776.7998046875,5934.64990234375,5934.64990234375,487289
2024-06-06,5970.0,5975.0,5900.0,5962.0,5962.0,490549
2024-06-07,5987.75,6031.0,5965.4501953125,6014.5498046875,6014.5498046875,436163
2024-06-10,6040.0,6075.0,5992.0498046875,6056.7001953125,6056.7001953125,443756
2024-06-11,6081.75,6167.25,6059.2001953125,6107.9501953125,6107.9501953125,521348
2024-06-12,6117.2998046875,6188.85009765625,6075.0,6168.60009765625,6168.60009765625,321285
2024-06-13,6207.9501953125,6210.5498046875,6160.0,6206.2001953125,6206.2001953125,401804
2024-06-14,6210.0,6219.9501953125,6175.0,6209.0,6209.0,128739
